Hour,Class
0,0.0007846214201647705
1,0.002376425855513308
2,0.014510278113663845
3,0.004875250932033267
4,0.010435571687840291
5,0.003681392235609103
6,0.002204801567858893
7,0.0031798700400940136
8,0.0008795934323690383
9,0.0010147777002600367
10,0.00048344210780759005
11,0.003158333829926703
12,0.001105475354402393
13,0.001109443320498597
14,0.0013922518159806296
15,0.001587883229510199
16,0.001341790680653818
17,0.001735895846249225
18,0.001651040745326965
19,0.0012206090196582296
20,0.0010775217000897936
21,0.0009075954393329173
22,0.0005852516582130316
23,0.0015620692823669945
